frametime,GoldStandardValence,GoldStandardArousal
0.0,-0.003912,-0.020594
0.04,-0.003912,-0.020594
0.08,-0.003912,-0.020594
0.12,-0.003912,-0.020594
0.16,-0.003912,-0.020594
0.2,-0.003912,-0.020594
0.24,-0.003912,-0.020594
0.28,-0.003912,-0.020594
0.32,-0.003912,-0.020594
0.36,-0.003912,-0.020594
0.4,-0.003912,-0.020594
0.44,-0.003912,-0.010594
0.48,-0.003912,-0.015594
0.52,-0.003912,-0.017261
0.56,-0.003912,-0.015594
0.6,-0.003912,-0.013928
0.64,-0.010579,-0.007261
0.68,-0.010579,-0.00059437
0.72,-0.010579,0.002739
0.76,-0.010579,0.0060723
0.8,-0.010579,0.0094056
0.84,-0.010579,0.011072
0.88,-0.010579,0.016072
0.92,-0.010579,0.026072
0.96,-0.0072454,0.034406
1.0,-0.0055787,0.054406
1.04,-0.003912,0.054406
1.08,-0.003912,0.054406
1.12,-0.0022454,0.054406
1.16,-0.0022454,0.049406
1.2,-0.0022454,0.039406
1.24,-0.0022454,0.032739
1.28,-0.0022454,0.026072
1.32,-0.0022454,0.014406
1.36,-0.0022454,0.0094056
1.4,-0.0022454,0.007739
1.44,-0.0022454,0.002739
1.48,-0.0005787,-0.0055944
1.52,-0.0005787,-0.010594
1.56,-0.0005787,-0.015594
1.6,-0.0005787,-0.020594
1.64,-0.0005787,-0.022261
1.68,-0.0005787,-0.023928
1.72,-0.0005787,-0.023928
1.76,-0.0005787,-0.015594
1.8,-0.0005787,-0.012261
1.84,-0.0005787,0.0044056
1.88,-0.0005787,0.012739
1.92,0.001088,0.019406
1.96,0.0027546,0.029406
2.0,0.0044213,0.037739
2.04,0.006088,0.034406
2.08,0.006088,0.044406
2.12,-0.008912,0.052739
2.16,-0.008912,0.061072
2.2,-0.0072454,0.059406
2.24,-0.0072454,0.061072
2.28,-0.0055787,0.066072
2.32,-0.0072454,0.071072
2.36,-0.0022454,0.079406
2.4,0.0044213,0.086072
2.44,0.0027546,0.087739
2.48,0.0027546,0.089406
2.52,0.0044213,0.089406
2.56,0.0044213,0.092739
2.6,0.0027546,0.091072
2.64,0.001088,0.084406
2.68,0.0044213,0.082739
2.72,0.0044213,0.081072
2.76,0.006088,0.077739
2.8,0.006088,0.077739
2.84,0.0044213,0.079406
2.88,0.0044213,0.081072
2.92,0.0044213,0.086072
2.96,0.0044213,0.086072
3.0,0.0027546,0.089406
3.04,0.001088,0.089406
3.08,0.001088,0.092739
3.12,-0.0005787,0.097739
3.16,-0.0072454,0.10107
3.2,-0.012245,0.10441
3.24,-0.013912,0.10441
3.28,-0.015579,0.10607
3.32,-0.015579,0.10941
3.36,-0.015579,0.11607
3.4,-0.015579,0.12107
3.44,-0.015579,0.12274
3.48,-0.013912,0.12274
3.52,-0.010579,0.11607
3.56,-0.0055787,0.11441
3.6,-0.0005787,0.11107
3.64,0.0077546,0.11274
3.68,0.011088,0.11274
3.72,0.012755,0.11274
3.76,0.012755,0.11441
3.8,0.012755,0.11274
3.84,0.012755,0.11441
3.88,0.011088,0.11441
3.92,0.011088,0.11441
3.96,0.012755,0.11607
4.0,0.017755,0.11607
4.04,0.021088,0.11607
4.08,0.026088,0.11607
4.12,0.027755,0.11107
4.16,0.029421,0.10441
4.2,0.031088,0.10274
4.24,0.032755,0.10607
4.28,0.032755,0.10607
4.32,0.034421,0.10274
4.36,0.034421,0.096072
4.4,0.032755,0.091072
4.44,0.029421,0.10107
4.48,0.027755,0.11607
4.52,0.026088,0.12107
4.56,0.024421,0.11774
4.6,0.021088,0.11107
4.64,0.019421,0.10941
4.68,0.019421,0.10774
4.72,0.017755,0.10941
4.76,0.017755,0.10941
4.8,0.019421,0.11107
4.84,0.021088,0.11607
4.88,0.019421,0.11774
4.92,0.017755,0.13107
4.96,0.016088,0.14774
5.0,0.014421,0.16607
5.04,0.012755,0.17607
5.08,0.011088,0.18441
5.12,0.011088,0.19274
5.16,0.006088,0.19941
5.2,0.006088,0.20441
5.24,0.006088,0.21107
5.28,0.0044213,0.21941
5.32,0.0044213,0.22107
5.36,0.0044213,0.22107
5.4,0.0044213,0.22107
5.44,0.001088,0.22107
5.48,0.001088,0.22107
5.52,0.001088,0.22274
5.56,0.006088,0.22274
5.6,0.0094213,0.22274
5.64,0.011088,0.22274
5.68,0.011088,0.22274
5.72,0.011088,0.22274
5.76,0.0094213,0.22274
5.8,0.0094213,0.22441
5.84,0.0077546,0.22441
5.88,0.0077546,0.22441
5.92,0.006088,0.22274
5.96,0.006088,0.22107
6.0,0.006088,0.21774
6.04,0.0077546,0.21941
6.08,0.011088,0.21941
6.12,0.014421,0.21607
6.16,0.019421,0.21274
6.2,0.021088,0.20274
6.24,0.021088,0.18607
6.28,0.021088,0.17107
6.32,0.019421,0.15274
6.36,0.019421,0.14107
