frametime,GoldStandardValence,GoldStandardArousal
0.0,-0.0025136,-0.020889
0.04,-0.0025136,-0.020889
0.08,-0.0025136,-0.020889
0.12,-0.0025136,-0.020889
0.16,-0.0025136,-0.020889
0.2,-0.0025136,-0.020889
0.24,-0.0025136,-0.020889
0.28,-0.0025136,-0.020889
0.32,-0.0025136,-0.020889
0.36,-0.0025136,-0.020889
0.4,-0.0025136,-0.020889
0.44,-0.0025136,-0.020889
0.48,-0.0025136,-0.020889
0.52,-0.0025136,-0.020889
0.56,-0.0025136,-0.019222
0.6,-0.0025136,-0.019222
0.64,-0.0025136,-0.019222
0.68,-0.0025136,-0.019222
0.72,-0.0025136,-0.019222
0.76,-0.0025136,-0.019222
0.8,0.0024864,-0.019222
0.84,0.0024864,-0.019222
0.88,0.0024864,-0.019222
0.92,0.0041531,-0.019222
0.96,0.0024864,-0.019222
1.0,0.00081975,-0.019222
1.04,0.00081975,-0.019222
1.08,0.00081975,-0.019222
1.12,0.00081975,-0.020889
1.16,0.00081975,-0.022556
1.2,0.00081975,-0.024222
1.24,0.00081975,-0.024222
1.28,0.0024864,-0.024222
1.32,0.0041531,-0.024222
1.36,0.0074864,-0.019222
1.4,0.01082,-0.015889
1.44,0.0091531,-0.012556
1.48,0.0091531,-0.010889
1.52,0.01082,-0.0075557
1.56,0.014153,-0.0075557
1.6,0.017486,-0.0075557
1.64,0.022486,-0.0075557
1.68,0.024153,-0.0075557
1.72,0.024153,-0.005889
1.76,0.024153,-0.0075557
1.8,0.024153,-0.0092224
1.84,0.027486,-0.0092224
1.88,0.029153,-0.0092224
1.92,0.032486,-0.010889
1.96,0.034153,-0.010889
2.0,0.037486,-0.010889
2.04,0.047486,-0.010889
2.08,0.057486,-0.0092224
2.12,0.067486,-0.010889
2.16,0.07582,-0.010889
2.2,0.08082,-0.010889
2.24,0.087486,-0.010889
2.28,0.09082,-0.0092224
2.32,0.094153,-0.0092224
2.36,0.09582,-0.0092224
2.4,0.10249,-0.0092224
2.44,0.10915,-0.0075557
2.48,0.11749,-0.005889
2.52,0.12582,-0.0025557
2.56,0.13749,-0.0042224
2.6,0.14915,-0.0025557
2.64,0.15582,-0.00088902
2.68,0.16415,0.00077765
2.72,0.17915,0.0024443
2.76,0.18915,0.0024443
2.8,0.19915,0.0024443
2.84,0.20915,0.0024443
2.88,0.21582,0.0024443
2.92,0.22415,0.0024443
2.96,0.22749,0.0074443
3.0,0.22749,0.010778
3.04,0.22915,0.015778
3.08,0.23749,0.020778
3.12,0.24249,0.024111
3.16,0.24915,0.027444
3.2,0.25249,0.032444
3.24,0.25582,0.034111
3.28,0.25749,0.035778
3.32,0.25749,0.037444
3.36,0.25915,0.037444
3.4,0.25915,0.039111
3.44,0.26082,0.039111
3.48,0.26415,0.040778
3.52,0.26749,0.042444
3.56,0.28582,0.045778
3.6,0.29749,0.047444
3.64,0.29915,0.049111
3.68,0.31415,0.050778
3.72,0.31249,0.050778
3.76,0.30915,0.049111
3.8,0.31249,0.049111
3.84,0.31082,0.049111
3.88,0.30749,0.052444
3.92,0.30415,0.054111
3.96,0.29915,0.055778
4.0,0.30582,0.059111
4.04,0.31082,0.059111
4.08,0.30749,0.062444
4.12,0.30415,0.067444
4.16,0.30415,0.072444
4.2,0.30249,0.075778
4.24,0.29915,0.080778
